,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,temp_v,humdy_v,cloud_v,wind_v
332,victoria,SC,8,09/28/2018,78,-4.62,55.45,78.8,14.99,xkcd:orange,#4C4CFF,#0000FF,xkcd:blue
333,waddan,LY,0,09/28/2018,48,29.16,16.14,55.5,4.61,xkcd:yellow green,#9999FF,#0000FF,xkcd:violet
334,iracoubo,GF,0,09/28/2018,73,5.48,-53.21,80.97,7.29,xkcd:reddish orange,#4C4CFF,#0000FF,xkcd:indigo blue
335,lucea,JM,20,09/28/2018,61,18.44,-78.17,82.4,9.17,xkcd:reddish orange,#6666FF,#1919FF,xkcd:indigo blue
336,half moon bay,US,20,09/28/2018,60,37.46,-122.43,71.96,16.11,xkcd:orange,#7F7FFF,#1919FF,xkcd:green
337,benito juarez,MX,0,09/28/2018,39,28.64,-111.57,95.73,8.19,xkcd:red,#B2B2FF,#0000FF,xkcd:indigo blue
338,lucapa,AO,56,09/28/2018,96,-8.42,20.74,67.29,2.71,xkcd:yellow,#1919FF,#7F7FFF,xkcd:violet
339,cherskiy,RU,32,09/28/2018,86,68.75,161.3,37.32,3.15,xkcd:green,#3333FF,#4C4CFF,xkcd:violet
340,le port,RE,0,09/28/2018,64,-20.94,55.29,68,11.41,xkcd:yellow,#6666FF,#0000FF,xkcd:blue
341,atherton,AU,20,09/28/2018,45,-17.27,145.48,82.4,21.92,xkcd:reddish orange,#9999FF,#1919FF,xkcd:sea green
342,mildura,AU,0,09/28/2018,57,-34.18,142.16,55.14,9.75,xkcd:yellow green,#7F7FFF,#0000FF,xkcd:indigo blue
343,waingapu,ID,0,09/28/2018,78,-9.65,120.26,79.17,7.29,xkcd:orange,#4C4CFF,#0000FF,xkcd:indigo blue
344,hanzhong,CN,20,09/28/2018,83,33.08,107.03,46.95,1.36,xkcd:sea green,#3333FF,#1919FF,xkcd:violet
345,bodden town,KY,20,09/28/2018,83,19.28,-81.25,84.2,10.29,xkcd:reddish orange,#3333FF,#1919FF,xkcd:blue
346,havre-saint-pierre,CA,90,09/28/2018,81,50.23,-63.6,48.2,10.29,xkcd:sea green,#3333FF,#CCCCFF,xkcd:blue
347,naze,JP,75,09/28/2018,83,28.37,129.48,84.2,29.97,xkcd:reddish orange,#3333FF,#B2B2FF,xkcd:sea green
348,adrar,DZ,0,09/28/2018,49,27.87,-0.29,73.4,12.75,xkcd:orange,#9999FF,#0000FF,xkcd:blue
349,toba,JP,75,09/28/2018,88,34.47,136.83,68,10.29,xkcd:yellow,#3333FF,#B2B2FF,xkcd:blue
350,wanning,CN,24,09/28/2018,100,18.8,110.4,79.62,11.65,xkcd:orange,#0000FF,#3333FF,xkcd:blue
351,belyy yar,RU,90,09/28/2018,100,53.6,91.39,44.6,2.24,xkcd:sea green,#0000FF,#CCCCFF,xkcd:violet
352,matagami,CA,90,09/28/2018,86,49.76,-77.63,39.2,5.82,xkcd:green,#3333FF,#CCCCFF,xkcd:indigo blue
353,menongue,AO,48,09/28/2018,50,-14.66,17.68,70.26,3.15,xkcd:orange,#9999FF,#6666FF,xkcd:violet
354,upata,VE,64,09/28/2018,77,8.02,-62.41,77.19,4.16,xkcd:orange,#4C4CFF,#9999FF,xkcd:violet
355,ploemeur,FR,0,09/28/2018,82,47.73,-3.43,55.4,14.99,xkcd:yellow green,#3333FF,#0000FF,xkcd:blue
356,sinnamary,GF,0,09/28/2018,94,5.38,-52.96,82.59,14.23,xkcd:reddish orange,#1919FF,#0000FF,xkcd:blue
357,moree,AU,0,09/28/2018,47,-29.46,149.84,72.51,13.56,xkcd:orange,#9999FF,#0000FF,xkcd:blue
358,ballina,AU,0,09/28/2018,88,-28.87,153.57,72.42,13.11,xkcd:orange,#3333FF,#0000FF,xkcd:blue
359,namibe,AO,12,09/28/2018,99,-15.19,12.15,68.55,7.4,xkcd:yellow,#1919FF,#1919FF,xkcd:indigo blue
360,quelimane,MZ,0,09/28/2018,90,-17.88,36.89,74.13,9.42,xkcd:orange,#3333FF,#0000FF,xkcd:indigo blue
361,wroclaw,PL,0,09/28/2018,80,51.1,17.03,39.2,8.05,xkcd:green,#4C4CFF,#0000FF,xkcd:indigo blue
362,takoradi,GH,88,09/28/2018,97,4.89,-1.75,77.01,6.4,xkcd:orange,#1919FF,#CCCCFF,xkcd:indigo blue
363,la celia,CO,40,09/28/2018,83,5,-76,73.4,2.24,xkcd:orange,#3333FF,#4C4CFF,xkcd:violet
364,doka,SD,0,09/28/2018,61,13.52,35.76,74.13,2.37,xkcd:orange,#6666FF,#0000FF,xkcd:violet
365,mayo,CA,5,09/28/2018,37,63.59,-135.9,50,3.36,xkcd:sea green,#B2B2FF,#0000FF,xkcd:violet
366,nicoya,CR,75,09/28/2018,94,10.15,-85.45,77,4.7,xkcd:orange,#1919FF,#B2B2FF,xkcd:violet
